alpha_deg,reynolds,velocity_ms,Cl,Cd,ClCd
-10.0,500000,7.5000,-1.015916,0.021218,-47.8795
-8.0,500000,7.5000,-0.826565,0.017258,-47.8951
-6.0,500000,7.5000,-0.625990,0.014511,-43.1383
-4.0,500000,7.5000,-0.419994,0.012683,-33.1145
-2.0,500000,7.5000,-0.210815,0.011659,-18.0819
0.0,500000,7.5000,-0.000209,0.011319,-0.0185
2.0,500000,7.5000,0.210714,0.011660,18.0723
4.0,500000,7.5000,0.420259,0.012696,33.1013
6.0,500000,7.5000,0.625919,0.014504,43.1557
8.0,500000,7.5000,0.826099,0.017256,47.8739
10.0,500000,7.5000,1.015083,0.021193,47.8969
12.0,500000,7.5000,1.182950,0.026896,43.9829
14.0,500000,7.5000,1.311011,0.035698,36.7248
16.0,500000,7.5000,1.168439,0.119285,9.7954
18.0,500000,7.5000,0.548451,0.221847,2.4722
20.0,500000,7.5000,0.573016,0.257347,2.2266
-10.0,1000000,15.0000,-1.032746,0.019167,-53.8827
-8.0,1000000,15.0000,-0.838095,0.015557,-53.8727
-6.0,1000000,15.0000,-0.634025,0.013030,-48.6597
-4.0,1000000,15.0000,-0.425294,0.011331,-37.5327
-2.0,1000000,15.0000,-0.213383,0.010380,-20.5568
0.0,1000000,15.0000,-0.000199,0.010062,-0.0198
2.0,1000000,15.0000,0.213307,0.010380,20.5489
4.0,1000000,15.0000,0.425493,0.011345,37.5034
6.0,1000000,15.0000,0.633921,0.013025,48.6680
8.0,1000000,15.0000,0.837614,0.015556,53.8435
10.0,1000000,15.0000,1.032153,0.019151,53.8959
12.0,1000000,15.0000,1.208978,0.024231,49.8933
14.0,1000000,15.0000,1.352385,0.031700,42.6618
16.0,1000000,15.0000,1.409515,0.044876,31.4089
18.0,1000000,15.0000,0.792317,0.171720,4.6140
20.0,1000000,15.0000,0.631693,0.234881,2.6894
-10.0,3000000,45.0000,-1.054207,0.016629,-63.3961
-8.0,3000000,45.0000,-0.853751,0.013408,-63.6749
-6.0,3000000,45.0000,-0.645395,0.011123,-58.0221
-4.0,3000000,45.0000,-0.432863,0.009578,-45.1933
-2.0,3000000,45.0000,-0.217056,0.008709,-24.9238
0.0,3000000,45.0000,-0.000203,0.008416,-0.0241
2.0,3000000,45.0000,0.217023,0.008709,24.9204
4.0,3000000,45.0000,0.432973,0.009593,45.1365
6.0,3000000,45.0000,0.645318,0.011121,58.0282
8.0,3000000,45.0000,0.853199,0.013410,63.6245
10.0,3000000,45.0000,1.053757,0.016626,63.3787
12.0,3000000,45.0000,1.240382,0.021049,58.9287
14.0,3000000,45.0000,1.403245,0.027190,51.6086
16.0,3000000,45.0000,1.518446,0.036530,41.5669
18.0,3000000,45.0000,1.073756,0.117391,9.1469
20.0,3000000,45.0000,0.743995,0.203005,3.6649
