alpha_deg,reynolds,velocity_ms,Cl,Cd,ClCd
-10.0,1000000,15.0,-1.032746,0.019167,-53.881462931079454
-10.0,3000000,45.0,-1.054207,0.016629,-63.395694269048036
6.0,500000,7.5,0.625919,0.014504,43.154922779922785
2.0,1000000,15.0,0.213307,0.01038,20.54980732177264
-10.0,500000,7.5,-1.015916,0.021218,-47.87991328117636
20.0,3000000,45.0,0.743995,0.203005,3.664909731287407
18.0,500000,7.5,0.548451,0.221847,2.4722038161435584
12.0,1000000,15.0,1.208978,0.024231,49.89385497915894
-4.0,500000,7.5,-0.419994,0.012683,-33.11472049199716
6.0,3000000,45.0,0.645318,0.011121,58.02697599136768
8.0,1000000,15.0,0.837614,0.015556,53.84507585497557
4.0,1000000,15.0,0.425493,0.011345,37.50489202291759
20.0,1000000,15.0,0.631693,0.234881,2.6894171942387843
-2.0,500000,7.5,-0.210815,0.011659,-18.081739428767477
0.0,500000,7.5,-0.000209,0.011319,-0.018464528668610303
14.0,3000000,45.0,1.403245,0.02719,51.60886355277676
18.0,3000000,45.0,1.073756,0.117391,9.146834084384663
-6.0,500000,7.5,-0.62599,0.014511,-43.13899800151609
2.0,500000,7.5,0.210714,0.01166,18.071526586620926
16.0,3000000,45.0,1.518446,0.03653,41.56709553791404
4.0,500000,7.5,0.420259,0.012696,33.10168557025835
0.0,1000000,15.0,-0.000199,0.010062,-0.019777380242496524
-8.0,500000,7.5,-0.826565,0.017258,-47.894599605979835
16.0,1000000,15.0,1.409515,0.044876,31.40910508958018
-2.0,1000000,15.0,-0.213383,0.01038,-20.55712909441233
6.0,1000000,15.0,0.633921,0.013025,48.66955854126679
-6.0,3000000,45.0,-0.645395,0.011123,-58.02346489256497
16.0,500000,7.5,1.168439,0.119285,9.79535566081234
10.0,3000000,45.0,1.053757,0.016626,63.38006736436907
-8.0,1000000,15.0,-0.838095,0.015557,-53.87253326476827
-4.0,3000000,45.0,-0.432863,0.009578,-45.19346418876592
12.0,3000000,45.0,1.240382,0.021049,58.92831013349804
14.0,500000,7.5,1.311011,0.035698,36.72505462490896
2.0,3000000,45.0,0.217023,0.008709,24.919393730623494
0.0,3000000,45.0,-0.000203,0.008416,-0.024120722433460078
-4.0,1000000,15.0,-0.425294,0.011331,-37.533668696496335
8.0,3000000,45.0,0.853199,0.01341,63.62408650261
-6.0,1000000,15.0,-0.634025,0.01303,-48.65886415963161
